id,title,genre,rating
3,Angry silence,Accion,7.1
8,How to survive a plague,Accion,8.7
13,Fall from grace,Accion,4.6
17,Satans tango ,Accion,1.9
27,Telefon,Accion,6.2
28,The coven,Accion,4.7
29,Dirty work,Accion,8.7
38,Battlestar galactica,Accion,5.8
50,Jill the ripper,Accion,1.4
51,Robot carnival,Accion,7.4
52,That touch of mink,Accion,10.0
57,Dragon ball z,Accion,8.2
59,1969,Accion,6.3
63,Invaders from mars,Accion,5.9
64,Ugly truth,Accion,4.7
65,10 000 timmar,Accion,6.2
66,My sassy girl,Accion,8.4
67,Mystery science theater 3000,Accion,4.0
77,Doubt,Accion,3.7
81,Carbon copy,Accion,8.0
83,Dodge city,Accion,8.8
84,Greatest show on earth,Accion,4.5
90,Cheech and chong,Accion,8.8
91,Take me out to the ball game,Accion,2.2
93,Ordinary decent criminal,Accion,6.1
97,Vie en rose,Accion,7.1
