id,title,genre,rating
6,Eenfance naked childhood,Comedia,7.2
8,How to survive a plague,Comedia,9.9
9,The man from the alamo,Comedia,8.2
13,Fall from grace,Comedia,3.6
15,Dragonquest,Comedia,8.7
17,Satans tango ,Comedia,8.9
20,Boy meets boy,Comedia,9.5
25,Kick ass,Comedia,7.0
27,Telefon,Comedia,5.9
28,The coven,Comedia,1.9
32,Chance of a lifetime,Comedia,4.1
36,Questioning darwin,Comedia,6.1
37,Designing woman,Comedia,7.1
40,Saturday night fever,Comedia,6.8
41,Brute the bruto,Comedia,8.0
44,Summer in berlin,Comedia,1.5
45,Presidents man,Comedia,5.0
48,Taxi 4,Comedia,4.6
52,That touch of mink,Comedia,3.0
59,1969,Comedia,6.4
60,Flying down to rio,Comedia,7.3
69,My favorite martian,Comedia,1.3
71,Dr. jack,Comedia,4.2
73,Deep rising,Comedia,6.7
75,Big mommas like father,Comedia,6.3
79,Kanine,Comedia,6.7
81,Carbon copy,Comedia,8.3
83,Dodge city,Comedia,8.9
86,Creepshow 2,Comedia,4.0
92,Silent house,Comedia,9.1
96,Way we laughed,Comedia,4.8
99,Jimmy rosenberg,Comedia,4.3
