id,title,genre,rating
2,Generals daughter,Terror,6.9
8,How to survive a plague,Terror,9.3
12,Romantic comedy,Terror,4.1
14,Casshern,Terror,6.6
17,Satans tango ,Terror,5.9
19,Cannibal holocaust,Terror,2.4
24,Tic code,Terror,7.9
35,With love,Terror,6.4
38,Battlestar galactica,Terror,6.4
50,Jill the ripper,Terror,4.9
57,Dragon ball z,Terror,6.4
58,Link,Terror,5.1
63,Invaders from mars,Terror,2.9
66,My sassy girl,Terror,6.9
78,Dark horse,Terror,8.3
79,Kanine,Terror,9.4
94,Eerie tales,Terror,5.0
99,Jimmy rosenberg,Terror,1.6
100,You kill me,Terror,2.4
